1,2.76
1,2.97
1,2.84
1,2.94
1,2.72
1,2.44
1,2.48
1,3.18
1,2.57
1,2.98
1,2.4
1,1.42
1,2.75
2,3.84
2,3.84
2,3.77
2,3.73
2,3.41
2,3.34
2,3.47
2,4.26
2,4
2,3.31
3,3
3,3
3,3.18
3,3.16
3,3.31
3,3.55
3,2.8
3,3.14
3,3.14
3,3.28
3,3.24
3,3.53
3,2.94
3,3.14
3,3.41
3,3.35
4,3.22
4,2.93
4,3.3
4,3.16
4,3.48
4,3.74
4,3.18
4,2.98
4,3.85
4,3.14
4,3.3
4,3.85
4,3
4,3.3
4,2.98
5,3.26
5,3.07
5,2.96
5,2.87
5,3.45
5,3.42
7,2.97
7,3
7,3.35
7,3.11
7,2.48
7,2.71
7,3
7,3
7,2.36
7,2.83
7,2.45
7,3
8,2.69
8,2.69
8,3.17
8,3.12
8,2.7
8,2.78
8,2.68
8,2.92
8,2.96
8,2.68
8,2.73
9,2.98
9,3.14
9,3
9,2.27
9,2.7
9,3.07
9,2.48
9,2.94
11,3.2
11,3.35
11,3.15
11,3.36
11,3.22
11,1.65
11,2.96
11,2.42
11,3.48
13,2.53
13,3
13,2.38
13,2.66
13,3.32
13,2.93
13,2.88
13,2.87
13,2.6
15,3.96
15,3.68
15,3.12
15,2.82
15,2.29
15,3
15,3
15,3.57
17,3.48
17,3.57
17,3.48
17,2.91
17,3.14
17,3.3
17,3
17,3.38
17,3.17
17,3.25
19,2.89
19,2.99
19,3
19,2.92
19,2.97
19,3.35
19,3
19,3.09
20,2.64
20,3.57
20,3.92
20,3.61
20,3.48
20,4.39
20,4
20,3.96
22,2.64
22,3.74
22,3.82
22,3.81
22,3.39
22,3.61
22,4
22,3.55
22,2.88
23,3
23,3.45
23,3.1
23,2.72
23,2.55
24,2.42
24,2.9
24,3.25
24,2.64
24,2.19
24,3.41
24,2.79
24,2.59
24,2.34
26,3.17
26,3.47
26,333
26,2.97
26,3.19
26,3.24
26,3.47
26,3.28
26,2.99
26,3.11
27,3.39
27,3.45
27,4.33
27,2.79
27,3
27,2.95
27,2.73
27,2.34
27,2.81
28,2.63
28,3.14
28,3.36
29,3.42
29,3.3
29,4.3
29,3
29,3.19
29,3.63
29,3.21
29,3.35
29,3.46
32,2.56
32,3.78
32,2.36
32,3.13
32,3.46
32,3.12
32,2.58
32,2.35
33,2.8
33,3
33,2.15
33,3.21
33,2.84
33,3.11
33,3.09
35,3.07
35,3.63
35,3.39
35,4
35,3.16
35,3.7
35,3.34
35,3.49
35,3.25
35,4
35,3.46
35,2.48
37,3.39
37,3.37
37,3.32
37,3.29
37,3.26
37,2.9
37,3.03
37,4.19
37,3.35
37,3.38
37,3.11
37,3.42
38,2.75
38,2.77
38,2.38
38,2.84
38,3.4
38,3.6
38,3.18
38,3.21
38,2.62
38,3
38,3.66
47,3
47,3.09
47,3.24
47,3
47,3.37
47,2.46
47,2.94
47,2.59
47,2.65
47,2.96
49,3.19
49,2.67
49,3.21
49,2.85
49,3.11
49,3.19
49,2.69
49,3.57
49,3.22
51,2.94
51,2.52
51,3.28
51,2.87
51,2.77
51,3
51,2.73
51,2.55
51,2.47
51,2.28
52,3.32
52,3.11
52,2.79
52,2.76
52,3
52,3
52,3.22
52,3.33
52,3.13
52,2.99
52,3.24
52,3
52,2.64
53,3
53,3
53,2.76
53,3
53,3
53,3
53,2.72
53,3
53,3.11
54,3.29
54,2.44
