No,Product,Client,id1,id2,id3,id4,weight,weight_unit,result,tare,Gross,date,time,user_name,unit_weight,pcs,picture,idgroup_name,is_idgroup_record,prt_list_no,id5,id6,OK,hi_limit,low_limit,limit_unit,minimum_limit,uw_pcs,pro_code,pro_desc,cmpy_addr,cmpy_people,cmpy_tel,cmpy_desc,pro_abbr,use_date,third_date,pro_price_unit,product_groups,id1_remark,id2_remark,id3_remark,id4_remark,id5_remark,id6_remark,Pro_Price,pro_num,product_target,product_targetunit,product_percent,total_price,total_priceunit,product_target_current,cmpy_barcode,id1_barcode,id2_barcode,id3_barcode,id4_barcode,id5_barcode,id6_barcode,product_format_path,swift_serial,remark1,remark2,pro_client_trace,pro_id1_trace,pro_id2_trace,pro_id3_trace,pro_id4_trace,pro_id5_trace,pro_id6_trace,pro_id7_trace,pro_id8_trace,pro_id9_trace,pro_id10_trace,local_remote,uw_unit,pro_proportion_and_line,id7_name,id8_name,id9_name,id10_name,id7_remark,id8_remark,id9_remark,id10_remark,id7_barcode,id8_barcode,id9_barcode,id10_barcode,pro_optional1,pro_optional2,pro_optional3,pro_optional4,pro_optional5,scale_id,log_status,related_id,kill_date,packing_date,used_date,
1,29,,,,,,3.615,kg,0,0.3,3.915,26-06-23,17:23:21,Technician ,0,0,,,0,9092,,,0,0,0,kg,0,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,0,0,0,,,,,,,,,215,,,,,,,,,,,,,,local,0,,,,,,,,,,,,,,,,,,,scale A,,9092,,,
2,39,,,,,,2.98,kg,0,0.3,3.28,26-06-23,17:21:22,Technician ,0,0,,,0,9091,,,0,0,0,kg,0,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,0,0,0,,,,,,,,,174,,,,,,,,,,,,,,local,0,,,,,,,,,,,,,,,,,,,scale A,,9091,,,
3,13,,,,,,1.985,kg,0,0.3,2.285,26-06-23,17:09:03,Technician ,0,0,,,0,9090,,,0,0,0,kg,0,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,0,0,0,,,,,,,,,193,,,,,,,,,,,,,,local,0,,,,,,,,,,,,,,,,,,,scale A,,9090,,,
4,8,,,,,,2.505,kg,0,0.3,2.805,26-06-23,17:08:47,Technician ,0,0,,,0,9089,,,0,0,0,kg,0,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,0,0,0,,,,,,,,,108,,,,,,,,,,,,,,local,0,,,,,,,,,,,,,,,,,,,scale A,,9089,,,
5,49,,,,,,2.985,kg,0,0.3,3.285,26-06-23,17:08:24,Technician ,0,0,,,0,9088,,,0,0,0,kg,0,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,0,0,0,,,,,,,,,76,,,,,,,,,,,,,,local,0,,,,,,,,,,,,,,,,,,,scale A,,9088,,,
6,57,,,,,,3.785,kg,0,0.3,4.085,26-06-23,17:08:02,Technician ,0,0,,,0,9087,,,0,0,0,kg,0,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,0,0,0,,,,,,,,,104,,,,,,,,,,,,,,local,0,,,,,,,,,,,,,,,,,,,scale A,,9087,,,
7,47,,,,,,2.6,kg,0,0.3,2.9,26-06-23,17:07:39,Technician ,0,0,,,0,9086,,,0,0,0,kg,0,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,0,0,0,,,,,,,,,116,,,,,,,,,,,,,,local,0,,,,,,,,,,,,,,,,,,,scale A,,9086,,,
8,21,,,,,,2.82,kg,0,0.3,3.12,26-06-23,17:07:03,Technician ,0,0,,,0,9085,,,0,0,0,kg,0,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,0,0,0,,,,,,,,,120,,,,,,,,,,,,,,local,0,,,,,,,,,,,,,,,,,,,scale A,,9085,,,
9,12,,,,,,3.19,kg,0,0.3,3.49,26-06-23,17:06:30,Technician ,0,0,,,0,9084,,,0,0,0,kg,0,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,0,0,0,,,,,,,,,154,,,,,,,,,,,,,,local,0,,,,,,,,,,,,,,,,,,,scale A,,9084,,,
10,14,,,,,,2.785,kg,0,0.3,3.085,26-06-23,17:04:44,Technician ,0,0,,,0,9082,,,0,0,0,kg,0,,,,,,,,,0,0,,,,,,,,,0,0,,0,0,0,0,0,,,,,,,,,192,,,,,,,,,,,,,,local,0,,,,,,,,,,,,,,,,,,,scale A,,9082,,,
